"kegg","over.abundant.health.conf"
"K02508(AraC_family_transcriptional_regulator,_4-hydroxyphenylacetate3-monooxygenase_operon_regulatory_protein)",0.98
"K06196(cytochrome_c-type_biogenesis_protein)",0.98
"K13683(putative_colanic_acid_biosynthesis_glycosyltransferase)",0.98
"K00638(chloramphenicol_O-acetyltransferase)",0.978
"K00903(protein-tyrosine_kinase)",0.978
"K01137(N-acetylglucosamine-6-sulfatase)",0.978
"K01173(endonuclease)",0.978
"K01284(peptidyl-dipeptidase_Dcp)",0.978
"K02481(two-component_system,_NtrC_family,_response_regulator)",0.978
"K03413(two-component_system,_chemotaxis_family,_response_regulator_CheY)",0.978
"K05970(sialate_O-acetylesterase)",0.978
"K06113(arabinan_endo-1,5-alpha-L-arabinosidase)",0.978
"K07085(mannosyl-3-phosphoglycerate_phosphatase)",0.978
"K07714(two-component_system,_NtrC_family,_response_regulator_AtoC)",0.978
"K12257(SecD/SecF_fusion_protein)",0.978
"K01493(dCMP_deaminase)",0.976
"K03284(metal_ion_transporter,_MIT_family)",0.976
"K03286(OmpA-OmpF_porin,_OOP_family)",0.976
"K03350(anaphase-promoting_complex_subunit_3)",0.976
"K03630(DNA_repair_protein_RadC)",0.976
"K03787(5'-nucleotidase)",0.976
"K05785(transcriptional_antiterminator_RfaH)",0.976
"K05989(alpha-L-rhamnosidase)",0.976
"K08252(receptor_protein-tyrosine_kinase)",0.976
"K08253(non-specific_protein-tyrosine_kinase)",0.976
"K12340(outer_membrane_channel_protein_TolC)",0.976
"K12524(bifunctional_aspartokinase_/_homoserine_dehydrogenase_1)",0.976
"K01213(galacturan_1,4-alpha-galacturonidase)",0.974
"K03770(peptidyl-prolyl_cis-trans_isomerase_D)",0.974
"K07713(two-component_system,_NtrC_family,_response_regulator_HydG)",0.974
"K00259(alanine_dehydrogenase)",0.972
"K00633(galactoside_O-acetyltransferase)",0.972
"K00971(mannose-1-phosphate_guanylyltransferase)",0.972
"K01206(alpha-L-fucosidase)",0.972
"K01728(pectate_lyase)",0.972
"K03585(membrane_fusion_protein)",0.972
"K06921(queuosine_biosynthesis_protein_QueC)",0.972
"K07799(putative_multidrug_efflux_transporter_MdtA)",0.972
"K09888(cell_division_protein_ZapA)",0.972
"K13652(AraC_family_transcriptional_regulator)",0.972
"K15532()",0.972
"K00241(succinate_dehydrogenase_cytochrome_b-556_subunit)",0.97
"K01133(choline-sulfatase)",0.97
"K01155(type_II_restriction_enzyme)",0.97
"K01579(aspartate_1-decarboxylase)",0.97
"K08259(lysostaphin)",0.97
"K00177(2-oxoglutarate_ferredoxin_oxidoreductase_subunit_gamma)",0.968
"K01134(arylsulfatase_A)",0.968
"K01623(fructose-bisphosphate_aldolase,_class_I)",0.968
"K02844(UDP-glucose:(heptosyl)LPS_alpha-1,3-glucosyltransferase)",0.968
"K03455(monovalent_cation:H+_antiporter-2,_CPA2_family)",0.968
"K03771(peptidyl-prolyl_cis-trans_isomerase_SurA)",0.968
"K12478(early_endosome_antigen_1)",0.968
"K00857(thymidine_kinase)",0.966
"K01711(GDPmannose_4,6-dehydratase)",0.966
"K01895(acetyl-CoA_synthetase)",0.966
"K06194(lipoprotein_NlpD)",0.966
"K07684(two-component_system,_NarL_family,_nitrate/nitrite_responseregulator_NarL)",0.966
"K13599(two-component_system,_NtrC_family,_nitrogen_regulation_responseregulator_NtrX)",0.966
"K00290(saccharopine_dehydrogenase_(NAD+,_L-lysine_forming))",0.964
"K07075(mannosyl-3-phosphoglycerate_phosphatase)",0.964
"K01580(glutamate_decarboxylase)",0.962
"K02667(two-component_system,_NtrC_family,_response_regulator_PilR)",0.962
"K03287(outer_membrane_factor,_OMF_family)",0.962
"K07165(transmembrane_sensor)",0.962
"K09458(3-oxoacyl-[acyl-carrier-protein]_synthase_II)",0.962
"K00757(uridine_phosphorylase)",0.96
"K01119(2',3'-cyclic-nucleotide_2'-phosphodiesterase)",0.96
"K01791(UDP-N-acetylglucosamine_2-epimerase)",0.96
"K09810(lipoprotein-releasing_system_ATP-binding_protein)",0.96
"K01192(beta-mannosidase)",0.958
"K01840(phosphomannomutase)",0.958
"K05592(ATP-dependent_RNA_helicase_DeaD)",0.958
"K01186(sialidase-1)",0.956
"K01822(steroid_delta-isomerase)",0.956
"K09808(lipoprotein-releasing_system_permease_protein)",0.956
"K12063(conjugal_transfer_ATP-binding_protein_TraC)",0.956
"K00677(UDP-N-acetylglucosamine_acyltransferase)",0.954
"K01412(mitochondrial_processing_peptidase)",0.954
"K01676(fumarate_hydratase,_class_I)",0.954
"K02005(HlyD_family_secretion_protein)",0.954
"K02372(3R-hydroxymyristoyl_ACP_dehydrase)",0.954
"K03152(4-methyl-5(b-hydroxyethyl)-thiazole_monophosphate_biosynthesis)",0.954
"K03296(hydrophobic/amphiphilic_exporter-1_(mainly_G-_bacteria),_HAE1_family)",0.954
"K03427(type_I_restriction_enzyme_M_protein)",0.954
"K03654(ATP-dependent_DNA_helicase_RecQ)",0.954
"K07214(enterochelin_esterase_and_related_enzymes)",0.954
"K07696(two-component_system,_NarL_family,_response_regulator_NreC)",0.954
"K11527(two-component_system,_unclassified_family,_sensor_histidine_kinaseand_response_regulator)",0.954
"K00249(acyl-CoA_dehydrogenase)",0.952
"K00957(sulfate_adenylyltransferase_subunit_2)",0.952
"K02557(chemotaxis_protein_MotB)",0.952
"K03355(anaphase-promoting_complex_subunit_8)",0.952
"K03407(two-component_system,_chemotaxis_family,_sensor_kinase_CheA)",0.952
"K03593(ATP-binding_protein_involved_in_chromosome_partitioning)",0.952
"K07240(chromate_transporter)",0.952
"K07678(two-component_system,_NarL_family,_sensor_histidine_kinase_BarA)",0.952
"K00996(undecaprenyl-phosphate_galactose_phosphotransferase)",0.95
"K01130(arylsulfatase)",0.95
"K01201(glucosylceramidase)",0.95
"K01880(glycyl-tRNA_synthetase)",0.95
"K07001(putative_drug_exporter_of_the_RND_superfamily)",0.95
"K00029(malate_dehydrogenase_(oxaloacetate-decarboxylating)(NADP+))",0.948
"K01662(1-deoxy-D-xylulose-5-phosphate_synthase)",0.948
"K02357(elongation_factor_EF-Ts)",0.948
"K03530(DNA-binding_protein_HU-beta)",0.948
"K00986(RNA-directed_DNA_polymerase)",0.946
"K01154(type_I_restriction_enzyme,_S_subunit)",0.946
"K01696(tryptophan_synthase_beta_chain)",0.946
"K06926(queuosine_biosynthesis_protein_QueC)",0.946
"K07056(mannosyl-3-phosphoglycerate_phosphatase)",0.946
"K00661(maltose_O-acetyltransferase)",0.944
"K01205(alpha-N-acetylglucosaminidase)",0.944
"K01234(neopullulanase)",0.944
"K01425(glutaminase)",0.944
"K02931(large_subunit_ribosomal_protein_L5)",0.944
"K03183(ubiquinone/menaquinone_biosynthesis_methyltransferase)",0.944
"K03328(polysaccharide_transporter,_PST_family)",0.944
"K03977(GTP-binding_protein)",0.944
"K07651(two-component_system,_OmpR_family,_sensor_histidine_kinase_ResE)",0.944
"K00210(prephenate_dehydrogenase)",0.942
"K00605(aminomethyltransferase)",0.942
"K01227(mannosyl-glycoprotein_endo-beta-N-acetylglucosaminidase)",0.942
"K09553(stress-induced-phosphoprotein_1)",0.942
"K13530(AraC_family_transcriptional_regulator,_regulatory_protein_ofadaptative_response_/_methylphosphotriester-DNA_alkyltransferasemethyltransferase)",0.942
"K15633()",0.942
"K02316(DNA_primase)",0.94
"K03495(glucose_inhibited_division_protein_A)",0.94
"K06167(PhnP_protein)",0.94
"K07715(two-component_system,_NtrC_family,_response_regulator_YfhA)",0.94
"K11996(adenylyltransferase_and_sulfurtransferase)",0.94
"K00639(glycine_C-acetyltransferase)",0.938
"K01262(Xaa-Pro_aminopeptidase)",0.938
"K03092(RNA_polymerase_sigma-54_factor)",0.936
"K07059(mannosyl-3-phosphoglycerate_phosphatase)",0.936
"K07712(two-component_system,_NtrC_family,_nitrogen_regulation_responseregulator_GlnG)",0.936
"K00571(site-specific_DNA-methyltransferase_(adenine-specific))",0.934
"K01051(pectinesterase)",0.934
"K01572(oxaloacetate_decarboxylase,_beta_subunit)",0.934
"K02961(small_subunit_ribosomal_protein_S17)",0.934
"K03650(tRNA_modification_GTPase)",0.934
"K03783(purine-nucleoside_phosphorylase)",0.934
"K05521(ADP-ribosylglycohydrolase)",0.934
"K05837(rod_shape_determining_protein_RodA)",0.934
"K07566(putative_translation_factor)",0.934
"K10678(nitroreductase)",0.934
"K14326(regulator_of_nonsense_transcripts_1)",0.934
"K00517(beta-carotene_15,15'-monooxygenase)",0.932
"K00721(dolichol-phosphate_mannosyltransferase)",0.932
"K02948(small_subunit_ribosomal_protein_S11)",0.932
"K05361(phospholipid-hydroperoxide_glutathione_peroxidase)",0.932
"K07506(AraC_family_transcriptional_regulator)",0.932
"K13888(macrolide-specific_efflux_protein_MacA)",0.932
"K01802(peptidylprolyl_isomerase)",0.93
"K02503(Hit-like_protein_involved_in_cell-cycle_regulation)",0.93
"K02864(large_subunit_ribosomal_protein_L10)",0.93
"K03177(tRNA_pseudouridine_synthase_B)",0.93
"K03595(GTP-binding_protein_Era)",0.93
"K06168(bifunctional_enzyme_involved_in_thiolation_and_methylation_of_tRNA)",0.93
"K08307(membrane-bound_lytic_murein_transglycosylase_D)",0.93
"K00693(glycogen(starch)_synthase)",0.928
"K00860(adenylylsulfate_kinase)",0.928
"K00901(diacylglycerol_kinase)",0.928
"K00992(2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase)",0.928
"K02863(large_subunit_ribosomal_protein_L1)",0.928
"K02986(small_subunit_ribosomal_protein_S4)",0.928
"K02988(small_subunit_ribosomal_protein_S5)",0.928
"K03606(putative_colanic_acid_biosysnthesis_UDP-glucose_lipid_carriertransferase)",0.928
"K07652(two-component_system,_OmpR_family,_sensor_histidine_kinase_VicK)",0.928
"K01790(dTDP-4-dehydrorhamnose_3,5-epimerase)",0.926
"K03711(Fur_family_transcriptional_regulator,_ferric_uptake_regulator)",0.926
"K06177(ribosomal_large_subunit_pseudouridine_synthase_A)",0.926
"K10532(heparan-alpha-glucosaminide_N-acetyltransferase)",0.926
"K10914(CRP/FNR_family_transcriptional_regulator,_cyclic_AMP_receptorprotein)",0.926
"K15270()",0.926
"K00558(DNA_(cytosine-5-)-methyltransferase)",0.924
"K00950(2-amino-4-hydroxy-6-hydroxymethyldihydropteridine_diphosphokinase)",0.924
"K02564(glucosamine-6-phosphate_deaminase)",0.924
"K02876(large_subunit_ribosomal_protein_L15)",0.924
"K02878(large_subunit_ribosomal_protein_L16)",0.924
"K03545(trigger_factor)",0.924
"K04043(molecular_chaperone_DnaK)",0.924
"K09013(Fe-S_cluster_assembly_ATP-binding_protein)",0.924
"K15514()",0.924
"K00046(gluconate_5-dehydrogenase)",0.922
"K00700(1,4-alpha-glucan_branching_enzyme)",0.922
"K00955(bifunctional_enzyme_CysN/CysC)",0.922
"K01126(glycerophosphoryl_diester_phosphodiesterase)",0.922
"K01887(arginyl-tRNA_synthetase)",0.922
"K02933(large_subunit_ribosomal_protein_L6)",0.922
"K03210(preprotein_translocase_subunit_YajC)",0.922
"K04764(integration_host_factor_subunit_alpha)",0.922
"K06919(tRNA_2-selenouridine_synthase)",0.922
"K06949(ribosome_biogenesis_GTPase)",0.922
"K07154(dolichyl-diphosphooligosaccharide--protein_glycosyltransferase)",0.922
"K07648(two-component_system,_OmpR_family,_aerobic_respiration_controlsensor_histidine_kinase_ArcB)",0.922
"K12994(alpha-1,3-rhamnosyltransferase)",0.922
"K14056(HTH-type_transcriptional_regulator,_repressor_for_puuD)",0.922
"K00297(methylenetetrahydrofolate_reductase_(NADPH))",0.92
"K00526(ribonucleoside-diphosphate_reductase_beta_chain)",0.92
"K00533(ferredoxin_hydrogenase_large_subunit)",0.92
"K00956(sulfate_adenylyltransferase_subunit_1)",0.92
"K01179(endoglucanase)",0.92
"K08191(MFS_transporter,_ACS_family,_hexuronate_transporter)",0.92
"K08303(putative_protease)",0.92
"K09812(cell_division_transport_system_ATP-binding_protein)",0.92
"K00532(ferredoxin_hydrogenase)",0.918
"K01695(tryptophan_synthase_alpha_chain)",0.918
"K02904(large_subunit_ribosomal_protein_L29)",0.918
"K06207(GTP-binding_protein)",0.918
"K11618(two-component_system,_NarL_family,_response_regulator_LiaR)",0.918
"K02601(transcriptional_antiterminator_NusG)",0.916
"K02892(large_subunit_ribosomal_protein_L23)",0.916
"K03498(trk_system_potassium_uptake_protein_TrkH)",0.916
"K03979(GTP-binding_protein)",0.916
"K10352(myosin_heavy_chain)",0.916
"K01079(phosphoserine_phosphatase)",0.914
"K02016(iron_complex_transport_system_substrate-binding_protein)",0.914
"K02992(small_subunit_ribosomal_protein_S7)",0.914
"K03218(RNA_methyltransferase,_TrmH_family)",0.914
"K04068(anaerobic_ribonucleoside-triphosphate_reductase_activating_protein)",0.914
"K07011(putative_glutamine_amidotransferase)",0.914
"K07239(heavy-metal_exporter,_HME_family)",0.914
"K00991(2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase)",0.912
"K07114(N-acetylmuramic_acid_6-phosphate_etherase)",0.912
"K09955(hypothetical_protein)",0.912
"K02495(oxygen-independent_coproporphyrinogen_III_oxidase)",0.91
"K02906(large_subunit_ribosomal_protein_L3)",0.91
"K02982(small_subunit_ribosomal_protein_S3)",0.91
"K13668(phosphatidylinositol_alpha-1,6-mannosyltransferase)",0.91
"K14060(putative_DNA-invertase_from_lambdoid_prophage_Rac)",0.91
"K01056(peptidyl-tRNA_hydrolase,_PTH1_family)",0.908
"K01181(endo-1,4-beta-xylanase)",0.908
"K01372(bleomycin_hydrolase)",0.908
"K02528(16S_rRNA_(adenine1518-N6/adenine1519-N6)-dimethyltransferase)",0.908
"K02952(small_subunit_ribosomal_protein_S13)",0.908
"K09667(polypeptide_N-acetylglucosaminyltransferase)",0.908
"K13292(phosphatidylglycerol:prolipoprotein_diacylglycerol_transferase)",0.908
"K00278(L-aspartate_oxidase)",0.906
"K01138(N-acetylglucosamine-6-sulfatase)",0.906
"K01153(type_I_restriction_enzyme,_R_subunit)",0.906
"K02946(small_subunit_ribosomal_protein_S10)",0.906
"K02954(small_subunit_ribosomal_protein_S14)",0.906
"K11085(ATP-binding_cassette,_subfamily_B,_bacterial_MsbA)",0.906
"K00610(aspartate_carbamoyltransferase_regulatory_subunit)",0.904
"K00784(ribonuclease_Z)",0.904
"K00939(adenylate_kinase)",0.904
"K01144(exodeoxyribonuclease_V)",0.904
"K02890(large_subunit_ribosomal_protein_L22)",0.904
"K02926(large_subunit_ribosomal_protein_L4)",0.904
"K02967(small_subunit_ribosomal_protein_S2)",0.904
"K09291(nucleoprotein_TPR)",0.904
"K13993(HSP20_family_protein)",0.904
"K14386()",0.904
"K00786(beta-galactosamide-alpha-2,3-sialyltransferase)",0.902
"K00788(thiamine-phosphate_pyrophosphorylase)",0.902
"K00806(undecaprenyl_diphosphate_synthase)",0.902
"K01265(methionyl_aminopeptidase)",0.902
"K01276(dipeptidyl-peptidase_II)",0.902
"K01285(lysosomal_Pro-X_carboxypeptidase)",0.902
"K01740(O-acetylhomoserine_(thiol)-lyase)",0.902
"K01768(adenylate_cyclase)",0.902
"K02078(acyl_carrier_protein)",0.902
"K02874(large_subunit_ribosomal_protein_L14)",0.902
"K03150(thiamine_biosynthesis_ThiH)",0.902
"K00257(isoquinoline_1-oxidoreductase)",0.9
"K00525(ribonucleoside-diphosphate_reductase_alpha_chain)",0.9
"K01966(propionyl-CoA_carboxylase_beta_chain)",0.9
"K02871(large_subunit_ribosomal_protein_L13)",0.9
"K02907(large_subunit_ribosomal_protein_L30)",0.9
"K03426(NAD+_diphosphatase)",0.9
"K00657(diamine_N-acetyltransferase)",0.898
"K00705(4-alpha-glucanotransferase)",0.898
"K01303(acylaminoacyl-peptidase)",0.898
"K02895(large_subunit_ribosomal_protein_L24)",0.898
"K02965(small_subunit_ribosomal_protein_S19)",0.898
"K03324(phosphate:Na+_symporter,_PNaS_family)",0.898
"K05540(tRNA-dihydrouridine_synthase_B)",0.898
"K08070(2-alkenal_reductase)",0.898
"K00745(raffinose-raffinose_alpha-galactotransferase)",0.896
"K01069(hydroxyacylglutathione_hydrolase)",0.896
"K01809(mannose-6-phosphate_isomerase)",0.896
"K01872(alanyl-tRNA_synthetase)",0.896
"K02358(elongation_factor_EF-Tu)",0.896
"K02994(small_subunit_ribosomal_protein_S8)",0.896
"K03353(anaphase-promoting_complex_subunit_6)",0.896
"K03553(recombination_protein_RecA)",0.896
"K03701(excinuclease_ABC_subunit_A)",0.896
"K08717(urea_transporter)",0.896
"K12983(UDP-glucose:(glucosyl)LPS_beta-1,3-glucosyltransferase)",0.896
"K00226(dihydroorotate_oxidase)",0.894
"K00848(rhamnulokinase)",0.894
"K01112(2-deoxyglucose-6-phosphatase)",0.894
"K01420(CRP/FNR_family_transcriptional_regulator,_anaerobic_regulatoryprotein)",0.894
"K01858(myo-inositol-1-phosphate_synthase)",0.894
"K02963(small_subunit_ribosomal_protein_S18)",0.894
"K03248(translation_initiation_factor_eIF-3_subunit_4)",0.894
"K03572(DNA_mismatch_repair_protein_MutL)",0.894
"K04041(fructose-1,6-bisphosphatase_III)",0.894
"K07052(mannosyl-3-phosphoglycerate_phosphatase)",0.894
"K13924(two-component_system,_chemotaxis_family,_CheB/CheR_fusion_protein)",0.894
"K01092(myo-inositol-1(or_4)-monophosphatase)",0.892
"K02518(translation_initiation_factor_IF-1)",0.892
"K02881(large_subunit_ribosomal_protein_L18)",0.892
"K03424(TatD_DNase_family_protein)",0.892
"K04564(superoxide_dismutase,_Fe-Mn_family)",0.892
"K06131(cardiolipin_synthase)",0.892
"K06941(ribosomal_RNA_large_subunit_methyltransferase_N)",0.892
"K08676(tricorn_protease)",0.892
"K00640(serine_O-acetyltransferase)",0.89
"K01236(maltooligosyltrehalose_trehalohydrolase)",0.89
"K02217(ferritin)",0.89
"K03499(trk_system_potassium_uptake_protein_TrkA)",0.89
"K03671(thioredoxin_1)",0.89
"K05595(multiple_antibiotic_resistance_protein)",0.89
"K08289(phosphoribosylglycinamide_formyltransferase_2)",0.89
"K13770(TetR/AcrR_family_transcriptional_regulator,_fatty_acid_metabolismregulator_protein)",0.89
"K15322()",0.89
"K00145(N-acetyl-gamma-glutamyl-phosphate/N-acetyl-gamma-aminoadipyl-phosphate_reductase)",0.888
"K01006(pyruvate,orthophosphate_dikinase)",0.888
"K01199(glucan_endo-1,3-beta-D-glucosidase)",0.888
"K01565(N-sulfoglucosamine_sulfohydrolase)",0.888
"K01808(ribose_5-phosphate_isomerase_B)",0.888
"K02479(two-component_system,_NarL_family,_response_regulator)",0.888
"K02884(large_subunit_ribosomal_protein_L19)",0.888
"K03169(DNA_topoisomerase_III)",0.888
"K13208(ELAV_like_protein_2/3/4)",0.888
"K15725()",0.888
"K01185(lysozyme)",0.886
"K01489(cytidine_deaminase)",0.886
"K01520(dUTP_pyrophosphatase)",0.886
"K02600(N_utilization_substance_protein_A)",0.886
"K03075(preprotein_translocase_subunit_SecG)",0.886
"K04069(pyruvate_formate_lyase_activating_enzyme)",0.886
"K08716(solute_carrier_family_14_(urea_transporter))",0.886
"K00930(acetylglutamate/acetylaminoadipate_kinase)",0.884
"K00978(glucose-1-phosphate_cytidylyltransferase)",0.884
"K01649(2-isopropylmalate_synthase)",0.884
"K01730(oligogalacturonide_lyase)",0.884
"K01866(tyrosyl-tRNA_synthetase)",0.884
"K01893(asparaginyl-tRNA_synthetase)",0.884
"K01912(phenylacetate-CoA_ligase)",0.884
"K03548(putative_permease)",0.884
"K09924(hypothetical_protein)",0.884
"K00924(phosphatidylinositol-4-phosphate_3-kinase)",0.882
"K01776(glutamate_racemase)",0.882
"K02867(large_subunit_ribosomal_protein_L11)",0.882
"K02888(large_subunit_ribosomal_protein_L21)",0.882
"K03470(ribonuclease_HII)",0.882
"K03529(chromosome_segregation_protein)",0.882
"K03631(DNA_repair_protein_RecN_(Recombination_protein_N))",0.882
"K06076(long-chain_fatty_acid_transport_protein)",0.882
"K06223(DNA_adenine_methylase)",0.882
"K06966(protein_pelota)",0.882
"K07814(putative_two-component_system_response_regulator)",0.882
"K09017(TetR/AcrR_family_transcriptional_regulator)",0.882
"K00954(pantetheine-phosphate_adenylyltransferase)",0.88
"K00981(phosphatidate_cytidylyltransferase)",0.88
"K01277(dipeptidyl-peptidase_III)",0.88
"K01826(5-carboxymethyl-2-hydroxymuconate_isomerase)",0.88
"K01914(aspartate--ammonia_ligase)",0.88
"K01940(argininosuccinate_synthase)",0.88
"K02519(translation_initiation_factor_IF-2)",0.88
"K02945(small_subunit_ribosomal_protein_S1)",0.88
"K03696(ATP-dependent_Clp_protease_ATP-binding_subunit_ClpC)",0.88
"K07164(quercetin_2,3-dioxygenase)",0.88
"K07319(putative_adenine-specific_DNA-methyltransferase)",0.88
"K07646(two-component_system,_OmpR_family,_sensor_histidine_kinase_KdpD)",0.88
"K09122(hypothetical_protein)",0.88
"K09748(hypothetical_protein)",0.88
"K13107(RNA-binding_motif_protein,_X-linked_2)",0.88
"K14623()",0.88
"K01007(pyruvate,_water_dikinase)",0.878
"K01271(Xaa-Pro_dipeptidase)",0.878
"K01733(threonine_synthase)",0.878
"K04078(chaperonin_GroES)",0.878
"K11936(biofilm_PGA_synthesis_N-glycosyltransferase_PgaC)",0.878
"K13956(actin-binding_protein_IPP)",0.878
"K00024(malate_dehydrogenase)",0.876
"K00609(aspartate_carbamoyltransferase_catalytic_subunit)",0.876
"K00876(uridine_kinase)",0.876
"K01704(3-isopropylmalate/(R)-2-methylmalate_dehydratase_small_subunit)",0.876
"K02169(biotin_synthesis_protein_BioC)",0.876
"K04567(lysyl-tRNA_synthetase,_class_II)",0.876
"K06153(undecaprenyl-diphosphatase)",0.876
"K08590(carbon-nitrogen_hydrolase_family_protein)",0.876
"K10900(werner_syndrome_ATP-dependent_helicase)",0.876
"K00974(tRNA_nucleotidyltransferase_(CCA-adding_enzyme))",0.874
"K01183(chitinase)",0.874
"K02493(methyltransferase)",0.874
"K03100(signal_peptidase_I)",0.874
"K03544(ATP-dependent_Clp_protease_ATP-binding_subunit_ClpX)",0.874
"K04517(prephenate_dehydrogenase)",0.874
"K04893(potassium_voltage-gated_channel_Shal-related_subfamily_D_member_3)",0.874
"K14407(cleavage_stimulation_factor_subunit_2)",0.874
"K01417(snapalysin)",0.872
"K01703(3-isopropylmalate/(R)-2-methylmalate_dehydratase_large_subunit)",0.872
"K02015(iron_complex_transport_system_permease_protein)",0.872
"K02956(small_subunit_ribosomal_protein_S15)",0.872
"K07322(regulator_of_cell_morphogenesis_and_NO_signaling)",0.872
"K14607()",0.872
"K00567(methylated-DNA-[protein]-cysteine_S-methyltransferase)",0.87
"K00703(starch_synthase)",0.87
"K00874(2-dehydro-3-deoxygluconokinase)",0.87
"K01442(choloylglycine_hydrolase)",0.87
"K01629(rhamnulose-1-phosphate_aldolase)",0.87
"K01687(dihydroxy-acid_dehydratase)",0.87
"K02013(iron_complex_transport_system_ATP-binding_protein)",0.87
"K02014(iron_complex_outermembrane_recepter_protein)",0.87
"K02834(ribosome-binding_factor_A)",0.87
"K03546(exonuclease_SbcC)",0.87
"K03648(uracil-DNA_glycosylase)",0.87
"K06871(Sep-tRNA:Cys-tRNA_synthetase)",0.87
"K08082(two-component_system,_LytT_family,_sensor_histidine_kinase_AlgZ)",0.87
"K00031(isocitrate_dehydrogenase)",0.868
"K00261(glutamate_dehydrogenase_(NAD(P)+))",0.868
"K01358(ATP-dependent_Clp_protease,_protease_subunit)",0.868
"K01571(oxaloacetate_decarboxylase,_alpha_subunit)",0.868
"K01883(cysteinyl-tRNA_synthetase)",0.868
"K02886(large_subunit_ribosomal_protein_L2)",0.868
"K02939(large_subunit_ribosomal_protein_L9)",0.868
"K03073(preprotein_translocase_subunit_SecE)",0.868
"K03106(signal_recognition_particle_subunit_SRP54)",0.868
"K03437(RNA_methyltransferase,_TrmH_family)",0.868
"K06158(ATP-binding_cassette,_sub-family_F,_member_3)",0.868
"K10442(kelch-like_protein_1/4/5)",0.868
"K10533(limonene-1,2-epoxide_hydrolase)",0.868
"K11175(phosphoribosylglycinamide_formyltransferase_1)",0.868
"K00053(ketol-acid_reductoisomerase)",0.866
"K00240(succinate_dehydrogenase_iron-sulfur_protein)",0.866
"K01338(ATP-dependent_Lon_protease)",0.866
"K01785(aldose_1-epimerase)",0.866
"K01869(leucyl-tRNA_synthetase)",0.866
"K02996(small_subunit_ribosomal_protein_S9)",0.866
"K03699(putative_hemolysin)",0.866
"K00045(mannitol_2-dehydrogenase)",0.864
