kegg,brite_level
K02451,KEGG modules [BR:ko00002]
K03455,NA
K03457,NA
K03451,NA
K03450,Transporters [BR:ko02000]
K03981,Enzymes [BR:ko01000]
K11250,Transporters [BR:ko02000]
K02058,KEGG modules [BR:ko00002]
K11493,Messenger RNA biogenesis [BR:ko03019]
K07089,NA
K03855,NA
K03854,Enzymes [BR:ko01000]
K03521,NA
K02589,NA
K14057,Transcription factors [BR:ko03000]
K03522,Exosome [BR:ko04147]
K14051,Enzymes [BR:ko01000]
K14050,Enzymes [BR:ko01000]
K14053,Transporters [BR:ko02000]
K14052,Transporters [BR:ko02000]
K03529,Chromosome [BR:ko03036]
K13011,Lipopolysaccharide biosynthesis proteins [BR:ko01005]
K13012,Lipopolysaccharide biosynthesis proteins [BR:ko01005]
K13013,Lipopolysaccharide biosynthesis proteins [BR:ko01005]
K14059,NA
K02857,Enzymes [BR:ko01000]
K02854,Transcription factors [BR:ko03000]
K02855,Transcription factors [BR:ko03000]
K04888,Ion channels [BR:ko04040]
K04883,Ion channels [BR:ko04040]
K04882,Ion channels [BR:ko04040]
K04881,Ion channels [BR:ko04040]
K04880,Ion channels [BR:ko04040]
K04887,Ion channels [BR:ko04040]
K04886,Ion channels [BR:ko04040]
K04885,Ion channels [BR:ko04040]
K04884,Ion channels [BR:ko04040]
K09761,Enzymes [BR:ko01000]
K09760,NA
K09762,NA
K09765,NA
K09764,NA
K09767,NA
K09766,NA
K09769,NA
K09768,NA
K11491,Chromosome [BR:ko03036]
K01381,Enzymes [BR:ko01000]
K13274,Enzymes [BR:ko01000]
K13275,Enzymes [BR:ko01000]
K13276,Enzymes [BR:ko01000]
K13277,Enzymes [BR:ko01000]
K06995,NA
K04082,Chaperones and folding catalysts [BR:ko03110]
K03892,Transcription factors [BR:ko03000]
K13278,Enzymes [BR:ko01000]
K15280,Transporters [BR:ko02000]
K03299,Transporters [BR:ko02000]
K03298,Transporters [BR:ko02000]
K07034,NA
K03293,NA
K03292,NA
K03291,Transporters [BR:ko02000]
K03290,Transporters [BR:ko02000]
K03297,Transporters [BR:ko02000]
K03296,NA
K03294,NA
K11658,Chromosome [BR:ko03036]
K11659,Chromosome [BR:ko03036]
K11650,Transcription machinery [BR:ko03021]
K11651,Transcription machinery [BR:ko03021]
K11652,Transcription machinery [BR:ko03021]
K11653,Transcription machinery [BR:ko03021]
K11654,Enzymes [BR:ko01000]
K08961,Enzymes [BR:ko01000]
K11657,Chromosome [BR:ko03036]
K11497,Chromosome [BR:ko03036]
K13872,Transporters [BR:ko02000]
K07558,Enzymes [BR:ko01000]
K13870,Transporters [BR:ko02000]
K13871,Protein phosphatases and associated proteins [BR:ko01009]
K06139,NA
K06138,NA
K09614,Enzymes [BR:ko01000]
K06137,Enzymes [BR:ko01000]
K06136,NA
K09611,Enzymes [BR:ko01000]
K09749,NA
K09613,Enzymes [BR:ko01000]
K09612,Enzymes [BR:ko01000]
K03187,NA
K12276,Secretion system [BR:ko02044]
K09748,Ribosome biogenesis [BR:ko03009]
K12273,Secretion system [BR:ko02044]
K15546,Transcription factors [BR:ko03000]
K12271,Secretion system [BR:ko02044]
K12270,Secretion system [BR:ko02044]
K02057,KEGG modules [BR:ko00002]
K12279,Secretion system [BR:ko02044]
K12278,Secretion system [BR:ko02044]
K07557,Enzymes [BR:ko01000]
K09424,Transcription factors [BR:ko03000]
K12690,Secretion system [BR:ko02044]
K11495,Chromosome [BR:ko03036]
K07552,Transporters [BR:ko02000]
K07221,Transporters [BR:ko02000]
K09741,Transfer RNA biogenesis [BR:ko03016]
K07032,NA
K09740,NA
K07608,Cytoskeleton proteins [BR:ko04812]
K07609,Cytoskeleton proteins [BR:ko04812]
K07358,NA
K07604,Cytoskeleton proteins [BR:ko04812]
K07605,Cytoskeleton proteins [BR:ko04812]
K07354,Bacterial motility proteins [BR:ko02035]
K00989,Enzymes [BR:ko01000]
K07352,Bacterial motility proteins [BR:ko02035]
K07353,Bacterial motility proteins [BR:ko02035]
K07350,Secretion system [BR:ko02044]
K07351,Bacterial motility proteins [BR:ko02035]
K09909,NA
K09908,NA
K12050,Secretion system [BR:ko02044]
K12057,Secretion system [BR:ko02044]
K12056,Secretion system [BR:ko02044]
K12055,Secretion system [BR:ko02044]
K12054,Secretion system [BR:ko02044]
K09901,NA
K09900,NA
K12059,Secretion system [BR:ko02044]
K09902,NA
K09904,NA
K09907,NA
K09906,Enzymes [BR:ko01000]
K07994,Enzymes [BR:ko01000]
K11501,Chromosome [BR:ko03036]
K11502,Chromosome [BR:ko03036]
K15287,Transporters [BR:ko02000]
K12441,Lipid biosynthesis proteins [BR:ko01004]
K07991,Enzymes [BR:ko01000]
K06919,NA
K06918,NA
K06917,Enzymes [BR:ko01000]
K06916,Chromosome [BR:ko03036]
K06915,NA
K07998,Enzymes [BR:ko01000]
K07999,Enzymes [BR:ko01000]
K06911,NA
K06910,NA
K06311,Transporters [BR:ko02000]
K00773,Enzymes [BR:ko01000]
K13118,Spliceosome [BR:ko03041]
K08740,DNA repair and recombination proteins [BR:ko03400]
K08741,DNA repair and recombination proteins [BR:ko03400]
K00776,Enzymes [BR:ko01000]
K06313,NA
K14787,Ribosome biogenesis [BR:ko03009]
K08986,NA
K08987,NA
K08984,NA
K08985,NA
K08982,NA
K02824,Transporters [BR:ko02000]
K08981,NA
K08988,NA
K06314,Transcription factors [BR:ko03000]
K06822,NA
K11436,Enzymes [BR:ko01000]
K11437,Enzymes [BR:ko01000]
K06351,NA
K06350,NA
K06825,Cell adhesion molecules and their ligands [BR:ko04516]
K10433,Cytoskeleton proteins [BR:ko04812]
K10431,Cytoskeleton proteins [BR:ko04812]
K10430,Cytoskeleton proteins [BR:ko04812]
K06359,Enzymes [BR:ko01000]
K10436,Chromosome [BR:ko03036]
K10434,Cytoskeleton proteins [BR:ko04812]
K10708,Enzymes [BR:ko01000]
K11801,Ubiquitin system [BR:ko04121]
K11499,Chromosome [BR:ko03036]
K10748,DNA replication proteins [BR:ko03032]
K08408,G protein-coupled receptors [BR:ko04030]
K08172,Transporters [BR:ko02000]
K15153,Transcription machinery [BR:ko03021]
K11343,Chromosome [BR:ko03036]
K05818,Transcription factors [BR:ko03000]
K11341,Chromosome [BR:ko03036]
K11346,Chromosome [BR:ko03036]
K15155,Transcription machinery [BR:ko03021]
K15154,Transcription machinery [BR:ko03021]
K10696,Enzymes [BR:ko01000]
K00179,Enzymes [BR:ko01000]
K00862,Enzymes [BR:ko01000]
K10693,Enzymes [BR:ko01000]
K05937,NA
K06921,NA
K06721,Cellular antigens [BR:ko04090]
K07176,NA
K07177,NA
K10325,Ubiquitin system [BR:ko04121]
K07175,NA
K07172,Prokaryotic defense system [BR:ko02048]
K07170,NA
K07171,Enzymes [BR:ko01000]
K00375,Transcription factors [BR:ko03000]
K10329,Ubiquitin system [BR:ko04121]
K10328,Ubiquitin system [BR:ko04121]
K09167,NA
K01359,Enzymes [BR:ko01000]
K09165,NA
K09163,NA
K09162,Enzymes [BR:ko01000]
K09161,NA
K09160,NA
K01355,Enzymes [BR:ko01000]
K01356,KEGG modules [BR:ko00002]
K08576,Enzymes [BR:ko01000]
K05615,Transporters [BR:ko02000]
K14339,Enzymes [BR:ko01000]
K03807,NA
K14335,Enzymes [BR:ko01000]
K10104,Cell adhesion molecules and their ligands [BR:ko04516]
K14330,Enzymes [BR:ko01000]
K15321,Polyketide biosynthesis proteins [BR:ko01008]
K15550,Transporters [BR:ko02000]
K12985,Enzymes [BR:ko01000]
K15323,Transfer RNA biogenesis [BR:ko03016]
K15559,Transcription machinery [BR:ko03021]
K13103,Spliceosome [BR:ko03041]
K00518,Enzymes [BR:ko01000]
K12987,Enzymes [BR:ko01000]
K04078,Chaperones and folding catalysts [BR:ko03110]
K15081,DNA repair and recombination proteins [BR:ko03400]
K05970,Enzymes [BR:ko01000]
K15083,DNA repair and recombination proteins [BR:ko03400]
K15082,DNA repair and recombination proteins [BR:ko03400]
K15084,Transporters [BR:ko02000]
K04070,Enzymes [BR:ko01000]
K12299,Transporters [BR:ko02000]
K03155,DNA repair and recombination proteins [BR:ko03400]
K00996,Enzymes [BR:ko01000]
K05589,Chromosome [BR:ko03036]
K03622,NA
K03623,NA
K15333,Enzymes [BR:ko01000]
K15332,Enzymes [BR:ko01000]
K15331,Enzymes [BR:ko01000]
K15337,Polyketide biosynthesis proteins [BR:ko01008]
K15336,Enzymes [BR:ko01000]
K15335,Enzymes [BR:ko01000]
K15334,Enzymes [BR:ko01000]
K05619,Enzymes [BR:ko01000]
K15339,Enzymes [BR:ko01000]
K15338,Enzymes [BR:ko01000]
K03591,Chromosome [BR:ko03036]
K05039,Transporters [BR:ko02000]
K14591,NA
K01002,Enzymes [BR:ko01000]
K04525,NA
K14848,Ribosome biogenesis [BR:ko03009]
K14849,Protein phosphatases and associated proteins [BR:ko01009]
K14847,Ribosome biogenesis [BR:ko03009]
K14844,Messenger RNA biogenesis [BR:ko03019]
K14845,Transcription machinery [BR:ko03021]
K14842,Ribosome biogenesis [BR:ko03009]
K14843,Ribosome biogenesis [BR:ko03009]
K14841,Ribosome biogenesis [BR:ko03009]
K10401,Cytoskeleton proteins [BR:ko04812]
K09581,Enzymes [BR:ko01000]
K09583,Enzymes [BR:ko01000]
K10855,Enzymes [BR:ko01000]
K14114,NA
K14115,NA
K14440,Enzymes [BR:ko01000]
K15716,Enzymes [BR:ko01000]
K14110,NA
K14111,NA
K14444,Transporters [BR:ko02000]
K14445,Transporters [BR:ko02000]
K08195,Transporters [BR:ko02000]
K01567,Enzymes [BR:ko01000]
K08197,Transporters [BR:ko02000]
K08196,Transporters [BR:ko02000]
K13641,Transcription factors [BR:ko03000]
K13640,Transcription factors [BR:ko03000]
K13643,Transcription factors [BR:ko03000]
K13642,Transcription factors [BR:ko03000]
K14684,Transporters [BR:ko02000]
K14680,Enzymes [BR:ko01000]
K15429,Enzymes [BR:ko01000]
K01133,Enzymes [BR:ko01000]
K15427,Enzymes [BR:ko01000]
K08356,Enzymes [BR:ko01000]
K08355,Enzymes [BR:ko01000]
K15424,Protein phosphatases and associated proteins [BR:ko01009]
K01138,Enzymes [BR:ko01000]
K14689,Transporters [BR:ko02000]
K15421,NA
K02445,Transporters [BR:ko02000]
K02444,Transcription factors [BR:ko03000]
K10799,Enzymes [BR:ko01000]
K02441,NA
K02440,Transporters [BR:ko02000]
K02443,Transcription factors [BR:ko03000]
K02442,NA
K02448,NA
K03466,Chromosome [BR:ko03036]
K08659,Enzymes [BR:ko01000]
K02597,NA
K02596,NA
K13005,Enzymes [BR:ko01000]
K13004,Enzymes [BR:ko01000]
K02593,NA
K13002,Enzymes [BR:ko01000]
K13001,Enzymes [BR:ko01000]
K02590,NA
K03867,Enzymes [BR:ko01000]
K11814,KEGG modules [BR:ko00002]
K13009,Enzymes [BR:ko01000]
K02598,Transporters [BR:ko02000]
K14060,NA
K14061,NA
K14062,Transporters [BR:ko02000]
K14063,Transcription factors [BR:ko03000]
K14064,NA
K14065,NA
K02021,Transporters [BR:ko02000]
K10819,NA
K03516,Bacterial motility proteins [BR:ko02035]
K05020,Transporters [BR:ko02000]
K02029,KEGG modules [BR:ko00002]
K02846,Enzymes [BR:ko01000]
K08841,Enzymes [BR:ko01000]
K11542,Protein phosphatases and associated proteins [BR:ko01009]
K05026,Ion channels [BR:ko04040]
K06954,NA
K02035,KEGG modules [BR:ko00002]
K07070,NA
K02053,KEGG modules [BR:ko00002]
K06039,NA
K10362,Cytoskeleton proteins [BR:ko04812]
K02205,Transporters [BR:ko02000]
K02103,Transcription factors [BR:ko03000]
K06033,Enzymes [BR:ko01000]
K06958,Messenger RNA biogenesis [BR:ko03019]
K09738,NA
K07136,NA
K09739,Enzymes [BR:ko01000]
K06408,NA
K09736,NA
K12998,Enzymes [BR:ko01000]
K12999,Enzymes [BR:ko01000]
K13462,NA
K12992,Enzymes [BR:ko01000]
K12993,Enzymes [BR:ko01000]
K12990,Enzymes [BR:ko01000]
K12991,Enzymes [BR:ko01000]
K12996,Enzymes [BR:ko01000]
K12997,Enzymes [BR:ko01000]
K12994,Enzymes [BR:ko01000]
K12995,Enzymes [BR:ko01000]
K02834,Ribosome biogenesis [BR:ko03009]
K08979,NA
K08978,Transporters [BR:ko02000]
K03088,Transcription machinery [BR:ko03021]
K03089,Transcription machinery [BR:ko03021]
K03086,Transcription machinery [BR:ko03021]
K08972,NA
K08971,NA
K08970,Transporters [BR:ko02000]
K08977,NA
K08976,NA
K08975,NA
K08974,NA
K13869,Transporters [BR:ko02000]
K13861,Transporters [BR:ko02000]
K13865,Transporters [BR:ko02000]
K13864,Transporters [BR:ko02000]
K13866,Transporters [BR:ko02000]
K09628,Enzymes [BR:ko01000]
K03653,Enzymes [BR:ko01000]
K05724,NA
K09623,Enzymes [BR:ko01000]
K03651,NA
K09627,Enzymes [BR:ko01000]
K12202,Secretion system [BR:ko02044]
K03645,DNA replication proteins [BR:ko03032]
K03646,Transporters [BR:ko02000]
K03647,NA
K03640,Transporters [BR:ko02000]
K03641,Transporters [BR:ko02000]
K03642,NA
K03643,Transporters [BR:ko02000]
K12209,Secretion system [BR:ko02044]
K03656,Enzymes [BR:ko01000]
K07457,NA
K06693,Proteasome [BR:ko03051]
K06694,Proteasome [BR:ko03051]
K06695,Proteasome [BR:ko03051]
K09127,Prokaryotic defense system [BR:ko02048]
K03449,Transporters [BR:ko02000]
K14643,Enzymes [BR:ko01000]
K07317,Enzymes [BR:ko01000]
K12428,Lipid biosynthesis proteins [BR:ko01004]
K12429,Lipid biosynthesis proteins [BR:ko01004]
K12422,Enzymes [BR:ko01000]
K12423,Lipid biosynthesis proteins [BR:ko01004]
K07181,NA
K12421,Lipid biosynthesis proteins [BR:ko01004]
K12426,Lipid biosynthesis proteins [BR:ko01004]
K12427,Lipid biosynthesis proteins [BR:ko01004]
K02682,Secretion system [BR:ko02044]
K12425,Lipid biosynthesis proteins [BR:ko01004]
K06214,Secretion system [BR:ko02044]
K09935,NA
K09936,Transporters [BR:ko02000]
K09937,NA
K07349,Secretion system [BR:ko02044]
K07348,Secretion system [BR:ko02044]
K09932,NA
K06213,Transporters [BR:ko02000]
K07344,Secretion system [BR:ko02044]
K07346,Chaperones and folding catalysts [BR:ko03110]
K07341,Prokaryotic defense system [BR:ko02048]
K07340,NA
K07343,NA
K11647,Enzymes [BR:ko01000]
K13656,Enzymes [BR:ko01000]
K10386,Cytoskeleton proteins [BR:ko04812]
K06580,Transporters [BR:ko02000]
K11642,Enzymes [BR:ko01000]
K10124,Transporters [BR:ko02000]
K15166,Transcription machinery [BR:ko03021]
K13654,Transcription factors [BR:ko03000]
K11649,Transcription machinery [BR:ko03021]
K11648,Protein phosphatases and associated proteins [BR:ko01009]
K06968,Enzymes [BR:ko01000]
K06969,Enzymes [BR:ko01000]
K06962,NA
K06963,Transfer RNA biogenesis [BR:ko03016]
K06960,NA
K06961,Ribosome biogenesis [BR:ko03009]
K06966,NA
K06967,Enzymes [BR:ko01000]
K06964,NA
K13653,Transcription factors [BR:ko03000]
K12736,Enzymes [BR:ko01000]
K12737,Enzymes [BR:ko01000]
K12734,Enzymes [BR:ko01000]
K12735,Enzymes [BR:ko01000]
K00749,Enzymes [BR:ko01000]
K00745,Enzymes [BR:ko01000]
K14438,Enzymes [BR:ko01000]
K15168,Transcription machinery [BR:ko03021]
K14789,Ribosome biogenesis [BR:ko03009]
K07507,Transporters [BR:ko02000]
K08994,NA
K08997,NA
K07504,NA
K07503,Enzymes [BR:ko01000]
K07502,NA
K08993,NA
K08992,NA
K05817,Transcription factors [BR:ko03000]
K08999,NA
K08998,NA
K06360,Enzymes [BR:ko01000]
K06361,Enzymes [BR:ko01000]
K06362,Enzymes [BR:ko01000]
K09803,NA
K06364,Enzymes [BR:ko01000]
K11426,Chromosome [BR:ko03036]
K06366,Enzymes [BR:ko01000]
K06367,Enzymes [BR:ko01000]
K06368,Enzymes [BR:ko01000]
K06369,Enzymes [BR:ko01000]
K11744,NA
K10770,Enzymes [BR:ko01000]
K15436,Transfer RNA biogenesis [BR:ko03016]
K10778,Enzymes [BR:ko01000]
K10779,Enzymes [BR:ko01000]
K15437,Transfer RNA biogenesis [BR:ko03016]
K09377,Transcription factors [BR:ko03000]
K14824,Ribosome biogenesis [BR:ko03009]
K11815,KEGG modules [BR:ko00002]
K07762,Enzymes [BR:ko01000]
K07761,Enzymes [BR:ko01000]
K05502,Enzymes [BR:ko01000]
K07767,Enzymes [BR:ko01000]
K07766,Enzymes [BR:ko01000]
K05927,Enzymes [BR:ko01000]
K05925,Enzymes [BR:ko01000]
K05922,Enzymes [BR:ko01000]
K07165,NA
K00349,Enzymes [BR:ko01000]
K07167,NA
K07166,NA
K10356,Protein phosphatases and associated proteins [BR:ko01009]
K10357,Messenger RNA biogenesis [BR:ko03019]
K07163,NA
K10355,Cytoskeleton proteins [BR:ko04812]
K10358,Cytoskeleton proteins [BR:ko04812]
K10359,Cytoskeleton proteins [BR:ko04812]
K00344,Enzymes [BR:ko01000]
K07168,NA
K00346,Enzymes [BR:ko01000]
K00347,Enzymes [BR:ko01000]
K09116,NA
K09117,NA
K03595,Ribosome biogenesis [BR:ko03009]
K09118,NA
K09119,Transfer RNA biogenesis [BR:ko03016]
K12431,Lipid biosynthesis proteins [BR:ko01004]
K05820,Transporters [BR:ko02000]
K12430,Lipid biosynthesis proteins [BR:ko01004]
K03459,Transporters [BR:ko02000]
K10171,Cellular antigens [BR:ko04090]
K03458,NA
K15522,Enzymes [BR:ko01000]
K15523,Enzymes [BR:ko01000]
K15520,Enzymes [BR:ko01000]
K15521,Enzymes [BR:ko01000]
K00520,Enzymes [BR:ko01000]
K00521,Enzymes [BR:ko01000]
K15524,Enzymes [BR:ko01000]
K15525,Enzymes [BR:ko01000]
K15529,Enzymes [BR:ko01000]
K00528,Enzymes [BR:ko01000]
K01436,Enzymes [BR:ko01000]
K04069,Enzymes [BR:ko01000]
K04068,Enzymes [BR:ko01000]
K11136,Enzymes [BR:ko01000]
K04065,NA
K05389,Ion channels [BR:ko04040]
K04061,Secretion system [BR:ko02044]
K08296,Enzymes [BR:ko01000]
K04063,NA
K02027,KEGG modules [BR:ko00002]
K09923,NA
K09922,NA
K06201,NA
K09223,Transcription factors [BR:ko03000]
K09920,NA
K14213,Enzymes [BR:ko01000]
K03453,NA
K09927,NA
K09022,Enzymes [BR:ko01000]
K09925,NA
K08219,Transporters [BR:ko02000]
K03152,Peptidases [BR:ko01002]
K08217,Transporters [BR:ko02000]
K08214,Transporters [BR:ko02000]
K06204,Transcription factors [BR:ko03000]
K07459,NA
K08211,Transporters [BR:ko02000]
K01347,Enzymes [BR:ko01000]
K14786,Ribosome biogenesis [BR:ko03009]
K15183,Protein phosphatases and associated proteins [BR:ko01009]
K01342,Enzymes [BR:ko01000]
K01341,Enzymes [BR:ko01000]
K15632,Enzymes [BR:ko01000]
K15631,Enzymes [BR:ko01000]
K01268,Enzymes [BR:ko01000]
K04844,Enzymes [BR:ko01000]
K14859,Ribosome biogenesis [BR:ko03009]
K14858,Ribosome biogenesis [BR:ko03009]
K14589,Enzymes [BR:ko01000]
K14588,NA
K14855,Ribosome biogenesis [BR:ko03009]
K14854,Ribosome biogenesis [BR:ko03009]
K02688,Transcription factors [BR:ko03000]
K14856,Ribosome biogenesis [BR:ko03009]
K14851,Ribosome biogenesis [BR:ko03009]
K14850,Enzymes [BR:ko01000]
K14853,Ribosome biogenesis [BR:ko03009]
K14781,Enzymes [BR:ko01000]
K12068,Secretion system [BR:ko02044]
K11924,Transcription factors [BR:ko03000]
K02024,Transporters [BR:ko02000]
K14103,NA
K14102,NA
K14101,NA
K14100,NA
K14107,NA
K14106,NA
K14105,NA
K14104,NA
K13670,Enzymes [BR:ko01000]
K13671,Enzymes [BR:ko01000]
K14109,NA
K14108,NA
K11739,NA
K04335,Secretion system [BR:ko02044]
K04334,Secretion system [BR:ko02044]
K04337,Secretion system [BR:ko02044]
K04336,Secretion system [BR:ko02044]
K14697,Transporters [BR:ko02000]
K14696,Transporters [BR:ko02000]
K04333,Transcription factors [BR:ko03000]
K01124,Enzymes [BR:ko01000]
K01829,Enzymes [BR:ko01000]
K15453,Enzymes [BR:ko01000]
K08320,Enzymes [BR:ko01000]
K01128,Enzymes [BR:ko01000]
K08326,Enzymes [BR:ko01000]
K04338,Secretion system [BR:ko02044]
K15454,Enzymes [BR:ko01000]
K15455,Transfer RNA biogenesis [BR:ko03016]
K02470,Enzymes [BR:ko01000]
K05311,Transcription factors [BR:ko03000]
K05312,Ion channels [BR:ko04040]
K02475,Two-component system [BR:ko02022]
K02476,Enzymes [BR:ko01000]
K02477,Two-component system [BR:ko02022]
K02478,Enzymes [BR:ko01000]
K02479,Two-component system [BR:ko02022]
K12289,Secretion system [BR:ko02044]
K01265,Enzymes [BR:ko01000]
K11733,Transporters [BR:ko02000]
K13580,NA
K11732,Transporters [BR:ko02000]
K13155,Spliceosome [BR:ko03041]
K02494,NA
K06903,NA
K13154,Spliceosome [BR:ko03041]
K09246,Transcription factors [BR:ko03000]
K09247,Transcription factors [BR:ko03000]
K09244,Transcription factors [BR:ko03000]
K09242,Transcription factors [BR:ko03000]
K09240,Transcription factors [BR:ko03000]
K13075,Enzymes [BR:ko01000]
K11737,Transporters [BR:ko02000]
K09248,Transcription factors [BR:ko03000]
K03874,Enzymes [BR:ko01000]
K02052,KEGG modules [BR:ko00002]
K05557,Transporters [BR:ko02000]
K02050,KEGG modules [BR:ko00002]
K02051,KEGG modules [BR:ko00002]
K02056,KEGG modules [BR:ko00002]
K11735,Transporters [BR:ko02000]
K14079,Enzymes [BR:ko01000]
K02055,KEGG modules [BR:ko00002]
K03503,Enzymes [BR:ko01000]
K03502,DNA repair and recombination proteins [BR:ko03400]
K03501,Enzymes [BR:ko01000]
K03500,Enzymes [BR:ko01000]
K03507,DNA replication proteins [BR:ko03032]
K12700,Enzymes [BR:ko01000]
K05559,Transporters [BR:ko02000]
K06870,NA
K03893,Transporters [BR:ko02000]
K06871,NA
K09509,Chaperones and folding catalysts [BR:ko03110]
K08220,Transporters [BR:ko02000]
K11928,Transporters [BR:ko02000]
K02278,Enzymes [BR:ko01000]
K02279,Secretion system [BR:ko02044]
K11276,Chromosome [BR:ko03036]
K06023,Enzymes [BR:ko01000]
K06022,Enzymes [BR:ko01000]
K06021,Enzymes [BR:ko01000]
K06020,Enzymes [BR:ko01000]
K09747,NA
K09746,NA
K06024,Chromosome [BR:ko03036]
K14055,NA
K09155,NA
K14054,NA
K06877,NA
K13292,Enzymes [BR:ko01000]
K03477,Transcription factors [BR:ko03000]
K11562,Chromosome [BR:ko03036]
K14056,Transcription factors [BR:ko03000]
K15136,Transcription machinery [BR:ko03021]
K13108,Spliceosome [BR:ko03041]
K07977,GTP-binding proteins [BR:ko04031]
K13106,Spliceosome [BR:ko03041]
K13107,Spliceosome [BR:ko03041]
K12983,Enzymes [BR:ko01000]
K12982,Enzymes [BR:ko01000]
K13102,Spliceosome [BR:ko03041]
K11560,Chromosome [BR:ko03036]
K13100,Spliceosome [BR:ko03041]
K13101,Spliceosome [BR:ko03041]
K13854,Transporters [BR:ko02000]
K13856,Transporters [BR:ko02000]
K11293,Chromosome [BR:ko03036]
K12508,Enzymes [BR:ko01000]
K03095,NA
K06975,NA
K12507,Enzymes [BR:ko01000]
K03091,Transcription machinery [BR:ko03021]
K12500,Enzymes [BR:ko01000]
K03093,Transcription machinery [BR:ko03021]
K06974,Enzymes [BR:ko01000]
K02852,Enzymes [BR:ko01000]
K06115,Cytoskeleton proteins [BR:ko04812]
