kegg,level_1,level_2
K04881,NA,NA
K04880,NA,NA
K04887,NA,NA
K04886,NA,NA
K04885,NA,NA
K04884,NA,NA
K03719,NA,NA
K05846,Environmental Information Processing,Membrane transport
K13274,NA,NA
K13275,NA,NA
K13276,NA,NA
K13277,NA,NA
K14396,Genetic Information Processing,Translation
K08150,NA,NA
K13273,Metabolism,Metabolism of terpenoids and polyketides
K13278,NA,NA
K13279,Cellular Processes,Transport and catabolism
K13199,NA,NA
K03275,Metabolism,Glycan biosynthesis and metabolism
K03274,Metabolism,Glycan biosynthesis and metabolism
K03277,Metabolism,Glycan biosynthesis and metabolism
K03276,Metabolism,Glycan biosynthesis and metabolism
K03271,Metabolism,Glycan biosynthesis and metabolism
K03270,Metabolism,Glycan biosynthesis and metabolism
K03273,Metabolism,Glycan biosynthesis and metabolism
K03272,Metabolism,Glycan biosynthesis and metabolism
K03279,Metabolism,Glycan biosynthesis and metabolism
K03278,Metabolism,Glycan biosynthesis and metabolism
K11022,Human Diseases,Infectious diseases
K12276,NA,NA
K12275,Genetic Information Processing,"Folding, sorting and degradation"
K12273,NA,NA
K12271,NA,NA
K12270,NA,NA
K15095,Metabolism,Metabolism of terpenoids and polyketides
K07556,NA,NA
K12279,NA,NA
K12278,NA,NA
K07225,NA,NA
K07550,Metabolism,Overview
K07220,NA,NA
K13908,Organismal Systems,Digestive system
K13909,Organismal Systems,Digestive system
K09909,NA,NA
K01101,Metabolism,Xenobiotics biodegradation and metabolism
K12050,NA,NA
K12057,NA,NA
K12056,NA,NA
K12055,NA,NA
K12054,NA,NA
K09901,NA,NA
K09900,NA,NA
K12059,NA,NA
K09902,NA,NA
K09904,NA,NA
K09907,NA,NA
K09906,NA,NA
K11501,NA,NA
K11502,NA,NA
K04464,Environmental Information Processing,Signal transduction
K00771,Metabolism,Glycan biosynthesis and metabolism
K09871,NA,NA
K00773,NA,NA
K00772,Metabolism,Amino acid metabolism
K04467,Environmental Information Processing,Signal transduction
K00776,NA,NA
K00778,Metabolism,Glycan biosynthesis and metabolism
K04466,Environmental Information Processing,Signal transduction
K09873,NA,NA
K09874,NA,NA
K06317,NA,NA
K03430,Metabolism,Metabolism of other amino acids
K07176,NA,NA
K07177,NA,NA
K07175,NA,NA
K07172,NA,NA
K07173,Metabolism,Overview
K07170,NA,NA
K07171,NA,NA
K07178,Genetic Information Processing,Translation
K07179,Genetic Information Processing,Translation
K00194,Metabolism,Overview
K00197,Metabolism,Overview
K00196,Metabolism,Overview
K00193,Metabolism,Overview
K00192,Metabolism,Overview
K00198,Metabolism,Overview
K10109,Environmental Information Processing,Membrane transport
K10108,Environmental Information Processing,Membrane transport
K10107,Environmental Information Processing,Membrane transport
K10105,Metabolism,Metabolism of cofactors and vitamins
K10104,NA,NA
K15557,Environmental Information Processing,Membrane transport
K15555,Metabolism,Energy metabolism
K15554,Metabolism,Energy metabolism
K15553,Metabolism,Energy metabolism
K04679,Environmental Information Processing,Signal transduction
K15551,Metabolism,Energy metabolism
K15550,NA,NA
K01826,Metabolism,Overview
K04675,Environmental Information Processing,Signal transduction
K01825,Metabolism,Overview
K01822,Metabolism,Lipid metabolism
K01823,Metabolism,Metabolism of terpenoids and polyketides
K01820,Metabolism,Carbohydrate metabolism
K15558,Environmental Information Processing,Membrane transport
K15081,NA,NA
K15083,NA,NA
K15082,NA,NA
K15084,NA,NA
K00999,Metabolism,Carbohydrate metabolism
K00998,Metabolism,Lipid metabolism
K00995,Metabolism,Lipid metabolism
K00994,Metabolism,Lipid metabolism
K00997,Metabolism,Metabolism of cofactors and vitamins
K00996,NA,NA
K00991,Metabolism,Metabolism of terpenoids and polyketides
K00990,Environmental Information Processing,Signal transduction
K00993,Metabolism,Lipid metabolism
K00992,Metabolism,Carbohydrate metabolism
K15333,NA,NA
K15332,NA,NA
K15331,NA,NA
K15337,NA,NA
K15336,NA,NA
K15335,NA,NA
K15334,NA,NA
K15339,NA,NA
K15338,NA,NA
K13483,Metabolism,Nucleotide metabolism
K13482,Metabolism,Nucleotide metabolism
K13481,Metabolism,Nucleotide metabolism
K13480,Metabolism,Nucleotide metabolism
K13487,Environmental Information Processing,Signal transduction
K13486,Environmental Information Processing,Signal transduction
K13485,Metabolism,Nucleotide metabolism
K13484,Metabolism,Nucleotide metabolism
K02624,NA,NA
K14684,NA,NA
K14686,Organismal Systems,Digestive system
K02738,Genetic Information Processing,"Folding, sorting and degradation"
K05109,Organismal Systems,Development
K14681,Metabolism,Overview
K08359,Metabolism,Energy metabolism
K08358,Metabolism,Energy metabolism
K08357,Metabolism,Energy metabolism
K08356,NA,NA
K08355,NA,NA
K05106,Organismal Systems,Development
K08353,Metabolism,Energy metabolism
K02736,Genetic Information Processing,"Folding, sorting and degradation"
K08351,Metabolism,Metabolism of cofactors and vitamins
K05102,Organismal Systems,Development
K03468,NA,NA
K03469,Genetic Information Processing,Replication and repair
K11262,Metabolism,Overview
K09607,NA,NA
K03462,Metabolism,Metabolism of cofactors and vitamins
K03464,Metabolism,Overview
K03465,Metabolism,Nucleotide metabolism
K03466,NA,NA
K01649,Metabolism,Overview
K01643,Environmental Information Processing,Signal transduction
K01640,Metabolism,Carbohydrate metabolism
K01641,Metabolism,Carbohydrate metabolism
K01646,Environmental Information Processing,Signal transduction
K01647,Metabolism,Overview
K01644,Environmental Information Processing,Signal transduction
K02597,NA,NA
K02596,NA,NA
K02594,Metabolism,Carbohydrate metabolism
K02593,NA,NA
K02592,NA,NA
K02591,Metabolism,Energy metabolism
K02590,NA,NA
K02599,Environmental Information Processing,Signal transduction
K02598,NA,NA
K02849,Metabolism,Glycan biosynthesis and metabolism
K02848,Metabolism,Glycan biosynthesis and metabolism
K14062,NA,NA
K14063,NA,NA
K14064,NA,NA
K14065,NA,NA
K14067,Metabolism,Overview
K02841,Metabolism,Glycan biosynthesis and metabolism
K02840,Metabolism,Glycan biosynthesis and metabolism
K02843,Metabolism,Glycan biosynthesis and metabolism
K02844,Metabolism,Glycan biosynthesis and metabolism
K02847,Metabolism,Glycan biosynthesis and metabolism
K02846,NA,NA
K09758,Metabolism,Overview
K06039,NA,NA
K06034,Metabolism,Energy metabolism
K06030,Cellular Processes,Cell growth and death
K06033,NA,NA
K13498,Metabolism,Overview
K13499,Metabolism,Glycan biosynthesis and metabolism
K13490,Environmental Information Processing,Signal transduction
K13491,Environmental Information Processing,Signal transduction
K03644,Metabolism,Metabolism of cofactors and vitamins
K03645,NA,NA
K03646,NA,NA
K03647,NA,NA
K03640,NA,NA
K03641,NA,NA
K03642,NA,NA
K03643,NA,NA
K03648,Genetic Information Processing,Replication and repair
K03649,Genetic Information Processing,Replication and repair
K06691,Genetic Information Processing,"Folding, sorting and degradation"
K06693,NA,NA
K06694,NA,NA
K06695,NA,NA
K06699,Genetic Information Processing,"Folding, sorting and degradation"
K12428,NA,NA
K12429,NA,NA
K12422,NA,NA
K12423,NA,NA
K12420,Metabolism,Metabolism of terpenoids and polyketides
K12421,NA,NA
K12426,NA,NA
K12427,NA,NA
K12425,NA,NA
K07349,NA,NA
K07348,NA,NA
K07345,Human Diseases,Infectious diseases
K07344,NA,NA
K07347,Human Diseases,Infectious diseases
K07346,NA,NA
K07341,NA,NA
K07340,NA,NA
K07343,NA,NA
K07342,Genetic Information Processing,"Folding, sorting and degradation"
K15288,NA,NA
K06968,NA,NA
K06969,NA,NA
K06962,NA,NA
K06963,NA,NA
K06960,NA,NA
K06961,NA,NA
K06966,NA,NA
K06967,NA,NA
K06964,NA,NA
K06965,Genetic Information Processing,Translation
K08995,NA,NA
K08994,NA,NA
K08997,NA,NA
K08996,NA,NA
K08991,Genetic Information Processing,Replication and repair
K08990,NA,NA
K08993,NA,NA
K08992,NA,NA
K08999,NA,NA
K08998,NA,NA
K02728,Genetic Information Processing,"Folding, sorting and degradation"
K05118,NA,NA
K05119,Human Diseases,Cancers
K05929,Metabolism,Lipid metabolism
K05928,Metabolism,Metabolism of cofactors and vitamins
K05927,NA,NA
K05925,NA,NA
K05922,NA,NA
K05921,Metabolism,Overview
K10352,Cellular Processes,Cellular commiunity
K10353,Metabolism,Nucleotide metabolism
K00698,Metabolism,Carbohydrate metabolism
K00699,Metabolism,Carbohydrate metabolism
K10356,NA,NA
K10357,NA,NA
K10355,NA,NA
K00692,Metabolism,Carbohydrate metabolism
K00341,Metabolism,Energy metabolism
K10358,NA,NA
K10359,NA,NA
K00344,NA,NA
K00697,Metabolism,Carbohydrate metabolism
K00694,Metabolism,Carbohydrate metabolism
K00347,NA,NA
K09113,Human Diseases,Endocrine and metabolic diseases
K09116,NA,NA
K09117,NA,NA
K05337,NA,NA
K09118,NA,NA
K09119,NA,NA
K02454,Environmental Information Processing,Membrane transport
K08502,Genetic Information Processing,"Folding, sorting and degradation"
K05823,Metabolism,Overview
K05820,NA,NA
K08501,Genetic Information Processing,"Folding, sorting and degradation"
K05826,Metabolism,Overview
K05827,Metabolism,Overview
K08504,Genetic Information Processing,"Folding, sorting and degradation"
K05825,Metabolism,Overview
K02100,NA,NA
K05828,Metabolism,Overview
K05829,Metabolism,Overview
K02453,Environmental Information Processing,Membrane transport
K00524,Metabolism,Nucleotide metabolism
K00525,Metabolism,Nucleotide metabolism
K00526,Metabolism,Nucleotide metabolism
K00527,Metabolism,Nucleotide metabolism
K00520,NA,NA
K00521,NA,NA
K00523,Metabolism,Carbohydrate metabolism
K02103,NA,NA
K00528,NA,NA
K00529,Metabolism,Overview
K03455,NA,NA
K04463,Environmental Information Processing,Signal transduction
K03456,Genetic Information Processing,Translation
K03983,Organismal Systems,Immune system
K03982,Environmental Information Processing,Signal transduction
K14217,Human Diseases,Infectious diseases
K14216,Human Diseases,Infectious diseases
K14215,Metabolism,Metabolism of terpenoids and polyketides
K14213,NA,NA
K05338,Environmental Information Processing,Signal transduction
K14211,Organismal Systems,Digestive system
K14210,Organismal Systems,Digestive system
K02459,Environmental Information Processing,Membrane transport
K00795,Metabolism,Metabolism of terpenoids and polyketides
K00026,Metabolism,Overview
K00793,Metabolism,Metabolism of cofactors and vitamins
K01347,NA,NA
K08585,NA,NA
K01344,Organismal Systems,Immune system
K01343,Organismal Systems,Immune system
K01342,NA,NA
K01341,NA,NA
K00022,Metabolism,Overview
K01349,Human Diseases,Infectious diseases
K09017,NA,NA
K02690,Metabolism,Energy metabolism
K02691,Metabolism,Energy metabolism
K09016,NA,NA
K00836,Metabolism,Overview
K00835,Metabolism,Amino acid metabolism
K00832,Metabolism,Overview
K00833,Metabolism,Metabolism of cofactors and vitamins
K00830,Metabolism,Overview
K00831,Metabolism,Overview
K00838,Metabolism,Overview
K00839,Metabolism,Nucleotide metabolism
K04335,NA,NA
K04334,NA,NA
K04337,NA,NA
K01120,Metabolism,Nucleotide metabolism
K01127,Metabolism,Glycan biosynthesis and metabolism
K04446,Environmental Information Processing,Signal transduction
K04333,NA,NA
K01124,NA,NA
K01129,Metabolism,Nucleotide metabolism
K04448,Environmental Information Processing,Signal transduction
K04338,NA,NA
K02470,NA,NA
K05311,NA,NA
K05312,NA,NA
K02473,Metabolism,Carbohydrate metabolism
K02474,Metabolism,Carbohydrate metabolism
K02475,NA,NA
K02476,NA,NA
K02477,NA,NA
K02478,NA,NA
K02479,NA,NA
K01266,NA,NA
K08099,Metabolism,Metabolism of cofactors and vitamins
K09018,Metabolism,Nucleotide metabolism
K03879,Metabolism,Energy metabolism
K03878,Metabolism,Energy metabolism
K13075,NA,NA
K03872,Genetic Information Processing,"Folding, sorting and degradation"
K03877,Metabolism,Glycan biosynthesis and metabolism
K03875,Genetic Information Processing,"Folding, sorting and degradation"
K03874,NA,NA
K10468,NA,NA
K10469,NA,NA
K11441,Metabolism,Carbohydrate metabolism
K08507,Genetic Information Processing,"Folding, sorting and degradation"
K02588,Metabolism,Energy metabolism
K13298,Metabolism,Nucleotide metabolism
K02589,NA,NA
K13294,Metabolism,Nucleotide metabolism
K13292,NA,NA
K13293,Metabolism,Nucleotide metabolism
K10460,NA,NA
K14056,NA,NA
K10461,NA,NA
K02580,Environmental Information Processing,Signal transduction
K03259,Genetic Information Processing,Translation
K03258,Genetic Information Processing,Translation
K03257,Genetic Information Processing,Translation
K03256,NA,NA
K03255,NA,NA
K03254,Genetic Information Processing,Translation
K03253,Genetic Information Processing,Translation
K03252,Genetic Information Processing,Translation
K03251,Genetic Information Processing,Translation
K14059,NA,NA
K02857,NA,NA
K12211,NA,NA
K12213,NA,NA
K12212,NA,NA
K12214,NA,NA
K12217,NA,NA
K12216,NA,NA
K12218,NA,NA
K02855,NA,NA
K08692,Metabolism,Overview
K08690,Metabolism,Overview
K08691,Metabolism,Overview
K08696,NA,NA
K08697,NA,NA
K11748,NA,NA
K08695,Metabolism,Biosynthesis of other secondary metabolites
K11746,NA,NA
K11747,NA,NA
K11744,NA,NA
K11745,NA,NA
K11742,NA,NA
K11743,NA,NA
K11740,NA,NA
K11741,NA,NA
K13920,Metabolism,Carbohydrate metabolism
K13921,Metabolism,Carbohydrate metabolism
K13922,Metabolism,Carbohydrate metabolism
K13923,Metabolism,Carbohydrate metabolism
K13924,Environmental Information Processing,Signal transduction
K13925,Human Diseases,Infectious diseases
K13926,NA,NA
K13927,Environmental Information Processing,Signal transduction
K13928,NA,NA
K13929,NA,NA
K09923,NA,NA
K06202,NA,NA
K06201,NA,NA
K09920,NA,NA
K09927,NA,NA
K06206,NA,NA
K06205,NA,NA
K06204,NA,NA
K06759,Environmental Information Processing,Signaling molecules and interaction
K06209,Metabolism,Overview
K09928,NA,NA
K11568,NA,NA
K11562,NA,NA
K11291,NA,NA
K11560,NA,NA
K11561,NA,NA
K11566,NA,NA
K11295,NA,NA
K11296,NA,NA
K00759,Metabolism,Nucleotide metabolism
K00758,Metabolism,Nucleotide metabolism
K00753,Metabolism,Glycan biosynthesis and metabolism
K00752,NA,NA
K00750,NA,NA
K00757,Metabolism,Nucleotide metabolism
K00756,Metabolism,Nucleotide metabolism
K06001,Metabolism,Overview
K09760,NA,NA
K09765,NA,NA
K09766,NA,NA
K05554,Metabolism,Metabolism of terpenoids and polyketides
K09769,NA,NA
K12814,Genetic Information Processing,Transcription
K07150,NA,NA
K07151,Metabolism,Glycan biosynthesis and metabolism
K07152,NA,NA
K07153,NA,NA
K07154,NA,NA
K07155,NA,NA
K07156,NA,NA
K07158,NA,NA
K07159,NA,NA
K07404,Metabolism,Overview
K07405,Metabolism,Carbohydrate metabolism
K07402,NA,NA
K07403,NA,NA
K07400,NA,NA
K07401,NA,NA
K10169,Cellular Processes,Transport and catabolism
K10168,Organismal Systems,Immune system
K10161,Organismal Systems,Immune system
K10160,Environmental Information Processing,Signal transduction
K10164,Cellular Processes,Cellular commiunity
K01808,Metabolism,Overview
K01809,Metabolism,Carbohydrate metabolism
K15533,NA,NA
K15532,NA,NA
K15535,NA,NA
K15534,NA,NA
K15537,NA,NA
K15536,NA,NA
K15539,NA,NA
K15538,NA,NA
K01802,NA,NA
K01803,Metabolism,Overview
K01804,Metabolism,Carbohydrate metabolism
K01805,Metabolism,Carbohydrate metabolism
K01807,Metabolism,Overview
K11252,Human Diseases,Cancers
K05361,Metabolism,Metabolism of other amino acids
K05127,NA,NA
K05121,Environmental Information Processing,Signal transduction
K05120,NA,NA
K09327,NA,NA
K09326,Cellular Processes,Cellular commiunity
K08339,Cellular Processes,Transport and catabolism
K05360,Metabolism,Metabolism of other amino acids
K14668,NA,NA
K08331,Cellular Processes,Transport and catabolism
K08330,Cellular Processes,Transport and catabolism
K08333,Cellular Processes,Transport and catabolism
K08332,Cellular Processes,Transport and catabolism
K14663,NA,NA
K14660,NA,NA
K08336,Environmental Information Processing,Signal transduction
K01664,Metabolism,Metabolism of cofactors and vitamins
K01665,Metabolism,Metabolism of cofactors and vitamins
K01666,Metabolism,Overview
K01667,Metabolism,Amino acid metabolism
K01661,Metabolism,Metabolism of cofactors and vitamins
K01662,Metabolism,Metabolism of cofactors and vitamins
K01663,Metabolism,Overview
K01668,Metabolism,Amino acid metabolism
K01669,NA,NA
K02863,Genetic Information Processing,Translation
K02860,NA,NA
K02867,Genetic Information Processing,Translation
K02866,Genetic Information Processing,Translation
K02865,Genetic Information Processing,Translation
K02864,Genetic Information Processing,Translation
K02869,Genetic Information Processing,Translation
K02868,Genetic Information Processing,Translation
K14009,Genetic Information Processing,"Folding, sorting and degradation"
K14002,Genetic Information Processing,"Folding, sorting and degradation"
K14000,Genetic Information Processing,"Folding, sorting and degradation"
K14001,Genetic Information Processing,"Folding, sorting and degradation"
K14006,Genetic Information Processing,"Folding, sorting and degradation"
K14007,Genetic Information Processing,"Folding, sorting and degradation"
K14004,Genetic Information Processing,Translation
K14005,Genetic Information Processing,"Folding, sorting and degradation"
K03402,NA,NA
K03403,Metabolism,Metabolism of cofactors and vitamins
K03400,Environmental Information Processing,Signal transduction
K03406,Environmental Information Processing,Signal transduction
K03407,Environmental Information Processing,Signal transduction
K03404,Metabolism,Metabolism of cofactors and vitamins
K03405,Metabolism,Metabolism of cofactors and vitamins
K03408,Environmental Information Processing,Signal transduction
K03409,Cellular Processes,Cell motility
K06070,Environmental Information Processing,Signal transduction
K02315,NA,NA
K02314,Genetic Information Processing,Replication and repair
K02317,Genetic Information Processing,Replication and repair
K02316,Genetic Information Processing,Replication and repair
K02310,Cellular Processes,Cell growth and death
K02313,Environmental Information Processing,Signal transduction
K02319,Metabolism,Nucleotide metabolism
K02318,Metabolism,Metabolism of cofactors and vitamins
K05366,Metabolism,Glycan biosynthesis and metabolism
K12404,Cellular Processes,Transport and catabolism
K12405,Metabolism,Lipid metabolism
K12406,Metabolism,Overview
K12407,Metabolism,Overview
K12152,NA,NA
K12402,Cellular Processes,Transport and catabolism
K12151,NA,NA
K12408,Metabolism,Lipid metabolism
K12409,Metabolism,Carbohydrate metabolism
K07367,Environmental Information Processing,Signal transduction
K07366,Organismal Systems,Immune system
K07364,Organismal Systems,Immune system
K07369,Environmental Information Processing,Signal transduction
K07091,Environmental Information Processing,Membrane transport
K07090,NA,NA
K07093,NA,NA
K07092,NA,NA
K07095,NA,NA
K07094,NA,NA
K07097,NA,NA
K07096,NA,NA
K07099,NA,NA
K07098,NA,NA
K11175,Metabolism,Nucleotide metabolism
K11177,Metabolism,Nucleotide metabolism
K11176,Metabolism,Nucleotide metabolism
K11170,NA,NA
K11173,NA,NA
K07890,NA,NA
K11179,Genetic Information Processing,"Folding, sorting and degradation"
K11178,Metabolism,Nucleotide metabolism
K07897,Cellular Processes,Transport and catabolism
K00322,Metabolism,Metabolism of cofactors and vitamins
K00323,Metabolism,Metabolism of cofactors and vitamins
K00320,Metabolism,Overview
K00326,Metabolism,Carbohydrate metabolism
K00327,NA,NA
K00324,Metabolism,Metabolism of cofactors and vitamins
K00325,Metabolism,Metabolism of cofactors and vitamins
K00329,Metabolism,Energy metabolism
K05946,NA,NA
K06944,NA,NA
K06417,NA,NA
K06946,NA,NA
K06415,NA,NA
K06940,NA,NA
K06941,NA,NA
K10808,Metabolism,Nucleotide metabolism
K06943,Genetic Information Processing,Translation
K10806,Metabolism,Lipid metabolism
K10375,Organismal Systems,Circulatory system
K10804,Metabolism,Lipid metabolism
K10805,Metabolism,Lipid metabolism
K10802,Genetic Information Processing,Replication and repair
K06949,NA,NA
K10800,Genetic Information Processing,Replication and repair
K06419,NA,NA
K09138,NA,NA
K09139,NA,NA
K09134,NA,NA
K09136,NA,NA
K09137,NA,NA
K09131,NA,NA
K09132,NA,NA
K09133,NA,NA
K05808,NA,NA
K05809,NA,NA
K05804,NA,NA
K05805,NA,NA
K05807,NA,NA
K05800,NA,NA
K05801,NA,NA
K05802,NA,NA
K05803,NA,NA
K01044,Metabolism,Xenobiotics biodegradation and metabolism
K01046,Metabolism,Lipid metabolism
K04567,Genetic Information Processing,Translation
K04408,Environmental Information Processing,Signal transduction
K04560,Genetic Information Processing,"Folding, sorting and degradation"
K14804,NA,NA
K14805,NA,NA
K14271,NA,NA
K08007,Cellular Processes,Cell motility
K14273,Metabolism,Carbohydrate metabolism
K14275,Metabolism,Carbohydrate metabolism
K14274,Metabolism,Carbohydrate metabolism
K05566,NA,NA
K08005,NA,NA
K08004,NA,NA
K08003,NA,NA
K08002,NA,NA
K01322,Organismal Systems,Endocrine system
K01325,Organismal Systems,Endocrine system
K01324,Organismal Systems,Immune system
K05441,Environmental Information Processing,Signal transduction
K02243,NA,NA
K08930,Environmental Information Processing,Signal transduction
K02679,NA,NA
K02677,Environmental Information Processing,Signal transduction
K02674,NA,NA
K02672,NA,NA
K02673,NA,NA
K02670,NA,NA
K02671,NA,NA
K00811,Metabolism,Overview
K00812,Metabolism,Overview
K00813,Metabolism,Overview
K00814,Metabolism,Overview
K00815,Metabolism,Overview
K00816,Metabolism,Amino acid metabolism
K00817,Metabolism,Overview
K00818,Metabolism,Overview
K00819,Metabolism,Amino acid metabolism
K02246,NA,NA
K10644,NA,NA
K02533,NA,NA
K10645,NA,NA
K05212,Environmental Information Processing,Signal transduction
K15276,NA,NA
K01499,Metabolism,Overview
K15275,NA,NA
K15272,NA,NA
K15270,NA,NA
K15271,NA,NA
K01493,Metabolism,Nucleotide metabolism
K01492,Metabolism,Nucleotide metabolism
K01491,Metabolism,Overview
K01490,Metabolism,Nucleotide metabolism
K01497,Metabolism,Metabolism of cofactors and vitamins
K01496,Metabolism,Overview
K15278,NA,NA
K01494,Metabolism,Nucleotide metabolism
K02418,Cellular Processes,Cell motility
K02419,Cellular Processes,Cell motility
K14491,Environmental Information Processing,Signal transduction
K14490,Environmental Information Processing,Signal transduction
K14493,Environmental Information Processing,Signal transduction
K14492,Environmental Information Processing,Signal transduction
K05372,NA,NA
K05373,NA,NA
K02410,Cellular Processes,Cell motility
K02411,Cellular Processes,Cell motility
K02416,Cellular Processes,Cell motility
K02417,Cellular Processes,Cell motility
K05374,NA,NA
K05375,Metabolism,Biosynthesis of other secondary metabolites
K00121,Metabolism,Overview
K00430,Metabolism,Biosynthesis of other secondary metabolites
K13058,NA,NA
K13059,NA,NA
K13054,Cellular Processes,Cell growth and death
K13727,NA,NA
K13724,NA,NA
K13057,Metabolism,Carbohydrate metabolism
K13050,NA,NA
K13051,NA,NA
K13052,NA,NA
K13053,NA,NA
K07604,NA,NA
K07605,NA,NA
K07606,Human Diseases,Cancers
K07607,Human Diseases,Neurodegenerative diseases
K07603,Organismal Systems,Digestive system
K12053,NA,NA
K09908,NA,NA
K03239,Genetic Information Processing,Translation
K03238,Genetic Information Processing,Translation
K03231,Genetic Information Processing,Translation
K03230,Environmental Information Processing,Membrane transport
K03233,Human Diseases,Infectious diseases
K03232,NA,NA
K03235,NA,NA
K03234,Environmental Information Processing,Signal transduction
K03237,Genetic Information Processing,Translation
K03236,Genetic Information Processing,Translation
K09493,NA,NA
K09491,NA,NA
K12058,NA,NA
K09497,NA,NA
K09496,NA,NA
K09495,NA,NA
K09494,NA,NA
K09499,NA,NA
K09498,NA,NA
K06224,Environmental Information Processing,Signal transduction
K12239,Metabolism,Metabolism of terpenoids and polyketides
K12238,Metabolism,Metabolism of terpenoids and polyketides
K06227,Environmental Information Processing,Signal transduction
K12899,NA,NA
K12898,NA,NA
K12897,Genetic Information Processing,Transcription
K12232,NA,NA
K12895,NA,NA
K12893,Genetic Information Processing,Transcription
K12236,NA,NA
K12235,Metabolism,Amino acid metabolism
K12890,Genetic Information Processing,Transcription
K11768,NA,NA
K11769,NA,NA
K11760,NA,NA
K11761,NA,NA
K11762,NA,NA
K11764,NA,NA
K11766,NA,NA
K11767,NA,NA
K13942,Metabolism,Overview
K13940,Metabolism,Metabolism of cofactors and vitamins
K13941,Metabolism,Metabolism of cofactors and vitamins
K13947,NA,NA
K06778,NA,NA
K12092,Human Diseases,Infectious diseases
K12090,Human Diseases,Infectious diseases
K06777,NA,NA
K06774,NA,NA
K05992,NA,NA
K15740,Metabolism,Metabolism of cofactors and vitamins
K15210,NA,NA
K04954,NA,NA
K04950,Environmental Information Processing,Signal transduction
K04953,Environmental Information Processing,Signal transduction
K04952,Environmental Information Processing,Signal transduction
K14347,NA,NA
K14616,Organismal Systems,Digestive system
K14615,Organismal Systems,Digestive system
K14342,Organismal Systems,Digestive system
K05991,NA,NA
K11817,Metabolism,Amino acid metabolism
K11814,NA,NA
K11815,NA,NA
K11540,Metabolism,Nucleotide metabolism
K11541,Metabolism,Nucleotide metabolism
K11810,NA,NA
K11811,NA,NA
K07132,NA,NA
K07133,NA,NA
K07130,Metabolism,Carbohydrate metabolism
K07131,NA,NA
K11548,NA,NA
K07137,NA,NA
K07134,NA,NA
K07427,NA,NA
K10143,Genetic Information Processing,"Folding, sorting and degradation"
K10637,NA,NA
